user_id,birth_year,age,gender,user_type
1,1984,36,Male,Customer
2,1987,33,Male,Customer
3,1972,48,Male,Customer
4,1989,31,Other,Subscriber
5,1974,46,Male,Subscriber
6,1959,61,Male,Subscriber
7,1983,37,Female,Subscriber
8,1989,31,Male,Subscriber
9,1988,32,Other,Subscriber
10,1992,28,Male,Subscriber
11,1996,24,Female,Subscriber
12,1993,27,Male,Subscriber
13,1990,30,Male,Customer
14,1987,33,Male,Subscriber
15,1988,32,Male,Subscriber
16,1981,39,Male,Subscriber
17,1975,45,Male,Subscriber
18,1990,30,Male,Subscriber
19,1978,42,Male,Customer
20,1983,37,Male,Subscriber
21,1984,36,Male,Subscriber
22,1991,29,Female,Subscriber
23,1997,23,Female,Subscriber
24,1986,34,Male,Subscriber
25,2000,20,Male,Customer
26,1982,38,Male,Subscriber
27,1995,25,Male,Subscriber
28,1996,24,Male,Subscriber
29,1993,27,Male,Customer
30,1980,40,Female,Subscriber
31,1973,47,Male,Subscriber
32,1985,35,Female,Subscriber
33,1984,36,Female,Subscriber
34,1992,28,Female,Subscriber
35,1992,28,Female,Customer
36,1971,49,Male,Subscriber
37,1972,48,Male,Subscriber
38,1980,40,Male,Subscriber
39,1979,41,Male,Subscriber
40,1974,46,Female,Subscriber
41,1990,30,Female,Subscriber
42,1997,23,Male,Subscriber
43,1967,53,Male,Subscriber
44,1982,38,Female,Subscriber
45,1980,40,Male,Customer
46,1998,22,Female,Subscriber
47,1993,27,Female,Subscriber
48,1994,26,Male,Subscriber
49,1982,38,Male,Customer
50,1977,43,Female,Subscriber
51,1999,21,Male,Subscriber
52,1987,33,Female,Subscriber
53,1994,26,Male,Customer
54,1991,29,Male,Subscriber
55,1998,22,Male,Subscriber
56,1992,28,Male,Customer
57,1969,51,Female,Subscriber
58,1988,32,Female,Customer
59,1984,36,Female,Customer
60,1963,57,Male,Subscriber
61,1976,44,Male,Subscriber
62,2000,20,Male,Subscriber
63,1993,27,Other,Subscriber
64,1991,29,Other,Subscriber
65,1985,35,Male,Subscriber
66,1976,44,Female,Subscriber
67,1964,56,Male,Subscriber
68,1998,22,Male,Customer
69,1985,35,Male,Customer
70,1978,42,Male,Subscriber
71,1999,21,Female,Subscriber
72,1981,39,Other,Subscriber
